file_name,intervention,cycle,F_peak_dyn_N,tip_span_mm,tip_at_peak_mm,tip_at_1Nm_mm,tip_at_4Nm_mm,k_1to4_n_per_mm,marker_reason
7 - SPO,SPO,2,107.0636280046669,14.951308607852136,14.098126090126438,2.4044666445481035,5.910040722826603,6.489572664820384,ok
7 - SPO,SPO,3,96.59808616933364,14.221368293909121,13.767060551029275,2.5975825408192876,6.4262589969655455,5.941916997551076,ok
7 - SPO,SPO,4,36.830175302666674,8.830639751717031,8.605825291525608,0.5848566053526956,8.14988214919332,3.007217567351329,ok
7 - SPO,SPO,5,14.231523393333358,5.000978656482319,5.640441095511075,,,,fhigh_not_reached_on_final_climb
7 - SPO,SPO,6,3.4452161609985446,0.06125798975226333,-0.03657827546476202,,,,fhigh_not_reached_on_final_climb
7 - SPO,SPO,7,4.981909994997981,0.38473735542473636,0.3252915819642359,,,,fhigh_not_reached_on_final_climb
7 - SPO,SPO,8,2.206350197667266,0.08139836508075052,-0.0729991419854895,,,,fhigh_not_reached_on_final_climb
7 - SPO,SPO,9,3.4129780003315346,0.06004652311190269,-0.051992609845365606,,,,fhigh_not_reached_on_final_climb
7 - SPO,SPO,10,21.042533708333117,8.770110758236976,12.049947363254295,,,,fhigh_not_reached_on_final_climb
7 - SPO,SPO,11,2.115236723332977,0.17516005991902198,-0.1466191301130758,,,,fhigh_not_reached_on_final_climb
7 - SPO,SPO,12,6.280240493332784,0.3940566699725949,0.10826562343525217,,,,fhigh_not_reached_on_final_climb
7 - SPO,SPO,13,6.280240493332784,0.6141523912863271,0.10826562343525217,,,,fhigh_not_reached_on_final_climb
7 - SPO,SPO,14,84.1582908093316,13.251084826339039,13.070064219723449,2.4852947269861403,4.820697113896625,9.74122397082703,ok
7 - SPO,SPO,15,94.29953483266435,12.824575350956753,11.556286520721446,-0.13826414687164199,4.468983277855743,4.937802469821813,ok
7 - SPO,SPO,16,91.80261730699982,12.133947361630673,10.4858246313338,-1.4305964595224687,3.068979205192425,5.055960696760625,ok
